sales_id,product_id,customer_id,location_id,order_id,quantity,total_amount,product_name,product_category,price,customer_fullname,gender,country,county,order_date,ship_date
1,6,114,3,1156,3,840.0,Rice 2kg,Grocery,280.0,David Achieng,Male,Kenya,Kisumu,2026-03-01,2026-03-04
2,3,118,3,1062,3,420.0,Sugar 1kg,Grocery,140.0,Grace Omondi,Male,Kenya,Kisumu,2026-03-20,2026-03-21
3,1,111,4,1063,4,240.0,Milk 500ml,Dairy,60.0,Daniel Cherono,Male,Kenya,Uasin Gishu,2026-03-19,2026-03-21
4,7,106,3,1072,3,1200.0,Eggs Tray,Dairy,400.0,David Mwangi,Male,Kenya,Kisumu,2026-03-02,2026-03-03
5,4,106,1,1124,2,640.0,Cooking Oil 1L,Grocery,320.0,David Mwangi,Male,Kenya,Nairobi,2026-03-06,2026-03-09
6,5,119,5,1142,2,160.0,Soda 500ml,Beverages,80.0,Faith Mutua,Female,Kenya,Nakuru,2026-03-26,2026-03-28
7,3,133,4,1174,3,420.0,Sugar 1kg,Grocery,140.0,Grace Njeri,Female,Kenya,Uasin Gishu,2026-03-07,2026-03-08
8,4,107,1,1200,1,320.0,Cooking Oil 1L,Grocery,320.0,John Kiptoo,Female,Kenya,Nairobi,2026-03-22,2026-03-24
9,6,106,5,1072,1,280.0,Rice 2kg,Grocery,280.0,David Mwangi,Male,Kenya,Nakuru,2026-03-02,2026-03-03
10,4,105,2,1167,4,1280.0,Cooking Oil 1L,Grocery,320.0,Faith Mutua,Male,Kenya,Mombasa,2026-03-01,2026-03-04
11,7,114,4,1055,5,2000.0,Eggs Tray,Dairy,400.0,David Achieng,Male,Kenya,Uasin Gishu,2026-03-28,2026-03-29
12,2,102,2,1095,1,55.0,Bread White,Bakery,55.0,Faith Cherono,Female,Kenya,Mombasa,2026-03-24,2026-03-25
13,5,101,5,1050,5,400.0,Soda 500ml,Beverages,80.0,Ann Otieno,Male,Kenya,Nakuru,2026-03-04,2026-03-07
14,5,132,3,1199,2,160.0,Soda 500ml,Beverages,80.0,Peter Omondi,Male,Kenya,Kisumu,2026-03-28,2026-03-30
15,2,120,2,1104,5,275.0,Bread White,Bakery,55.0,Ann Kiptoo,Female,Kenya,Mombasa,2026-03-06,2026-03-08
16,6,121,4,1062,4,1120.0,Rice 2kg,Grocery,280.0,Brian Achieng,Male,Kenya,Uasin Gishu,2026-03-20,2026-03-21
17,7,123,3,1046,4,1600.0,Eggs Tray,Dairy,400.0,Daniel Wanjiku,Female,Kenya,Kisumu,2026-03-09,2026-03-12
18,6,110,3,1187,3,840.0,Rice 2kg,Grocery,280.0,James Mwangi,Male,Kenya,Kisumu,2026-03-05,2026-03-08
19,4,109,1,1131,2,640.0,Cooking Oil 1L,Grocery,320.0,James Njeri,Female,Kenya,Nairobi,2026-03-25,2026-03-26
20,5,107,1,1164,5,400.0,Soda 500ml,Beverages,80.0,John Kiptoo,Female,Kenya,Nairobi,2026-03-12,2026-03-14
21,3,116,2,1070,1,140.0,Sugar 1kg,Grocery,140.0,James Mwangi,Female,Kenya,Mombasa,2026-03-22,2026-03-23
22,2,117,1,1050,2,110.0,Bread White,Bakery,55.0,Mary Kiptoo,Female,Kenya,Nairobi,2026-03-04,2026-03-07
23,7,138,5,1187,3,1200.0,Eggs Tray,Dairy,400.0,David Otieno,Female,Kenya,Nakuru,2026-03-05,2026-03-08
24,6,110,1,1108,1,280.0,Rice 2kg,Grocery,280.0,James Mwangi,Male,Kenya,Nairobi,2026-03-07,2026-03-09
25,2,123,4,1146,3,165.0,Bread White,Bakery,55.0,Daniel Wanjiku,Female,Kenya,Uasin Gishu,2026-03-24,2026-03-25
26,1,148,2,1041,3,180.0,Milk 500ml,Dairy,60.0,Ann Cherono,Female,Kenya,Mombasa,2026-03-03,2026-03-04
27,2,132,3,1020,1,55.0,Bread White,Bakery,55.0,Peter Omondi,Male,Kenya,Kisumu,2026-03-04,2026-03-06
28,2,109,5,1186,4,220.0,Bread White,Bakery,55.0,James Njeri,Female,Kenya,Nakuru,2026-03-06,2026-03-08
29,3,124,3,1182,4,560.0,Sugar 1kg,Grocery,140.0,Daniel Achieng,Male,Kenya,Kisumu,2026-03-31,2026-04-02
30,3,111,5,1199,5,700.0,Sugar 1kg,Grocery,140.0,Daniel Cherono,Male,Kenya,Nakuru,2026-03-28,2026-03-30
31,6,106,3,1125,1,280.0,Rice 2kg,Grocery,280.0,David Mwangi,Male,Kenya,Kisumu,2026-03-14,2026-03-15
32,4,141,4,1153,5,1600.0,Cooking Oil 1L,Grocery,320.0,Faith Otieno,Male,Kenya,Uasin Gishu,2026-03-07,2026-03-09
33,6,111,3,1180,5,1400.0,Rice 2kg,Grocery,280.0,Daniel Cherono,Male,Kenya,Kisumu,2026-03-12,2026-03-13
34,7,126,4,1010,5,2000.0,Eggs Tray,Dairy,400.0,Faith Kiptoo,Male,Kenya,Uasin Gishu,2026-03-10,2026-03-12
35,7,126,2,1010,5,2000.0,Eggs Tray,Dairy,400.0,Faith Kiptoo,Male,Kenya,Mombasa,2026-03-10,2026-03-12
36,7,142,3,1181,2,800.0,Eggs Tray,Dairy,400.0,James Otieno,Male,Kenya,Kisumu,2026-03-14,2026-03-15
37,4,142,4,1183,5,1600.0,Cooking Oil 1L,Grocery,320.0,James Otieno,Male,Kenya,Uasin Gishu,2026-03-02,2026-03-05
38,2,138,3,1141,3,165.0,Bread White,Bakery,55.0,David Otieno,Female,Kenya,Kisumu,2026-03-25,2026-03-26
39,7,112,2,1007,5,2000.0,Eggs Tray,Dairy,400.0,David Mwangi,Male,Kenya,Mombasa,2026-03-29,2026-03-31
40,5,105,2,1129,4,320.0,Soda 500ml,Beverages,80.0,Faith Mutua,Male,Kenya,Mombasa,2026-03-20,2026-03-23
41,2,110,1,1158,2,110.0,Bread White,Bakery,55.0,James Mwangi,Male,Kenya,Nairobi,2026-03-12,2026-03-14
42,6,150,5,1025,4,1120.0,Rice 2kg,Grocery,280.0,Peter Achieng,Female,Kenya,Nakuru,2026-03-16,2026-03-17
43,5,114,1,1037,2,160.0,Soda 500ml,Beverages,80.0,David Achieng,Male,Kenya,Nairobi,2026-03-27,2026-03-28
44,7,146,3,1032,5,2000.0,Eggs Tray,Dairy,400.0,Daniel Omondi,Female,Kenya,Kisumu,2026-03-25,2026-03-26
45,6,124,2,1175,5,1400.0,Rice 2kg,Grocery,280.0,Daniel Achieng,Male,Kenya,Mombasa,2026-03-07,2026-03-09
46,6,119,3,1185,4,1120.0,Rice 2kg,Grocery,280.0,Faith Mutua,Female,Kenya,Kisumu,2026-03-26,2026-03-28
47,7,144,1,1133,1,400.0,Eggs Tray,Dairy,400.0,Ann Cherono,Male,Kenya,Nairobi,2026-03-04,2026-03-05
48,6,125,1,1200,2,560.0,Rice 2kg,Grocery,280.0,Daniel Kamau,Male,Kenya,Nairobi,2026-03-22,2026-03-24
49,7,117,1,1190,2,800.0,Eggs Tray,Dairy,400.0,Mary Kiptoo,Female,Kenya,Nairobi,2026-03-17,2026-03-18
50,3,141,3,1161,4,560.0,Sugar 1kg,Grocery,140.0,Faith Otieno,Male,Kenya,Kisumu,2026-03-29,2026-04-01
51,3,128,2,1141,4,560.0,Sugar 1kg,Grocery,140.0,Peter Omondi,Male,Kenya,Mombasa,2026-03-25,2026-03-26
52,4,147,3,1183,3,960.0,Cooking Oil 1L,Grocery,320.0,Brian Kiptoo,Female,Kenya,Kisumu,2026-03-02,2026-03-05
53,7,114,5,1072,3,1200.0,Eggs Tray,Dairy,400.0,David Achieng,Male,Kenya,Nakuru,2026-03-02,2026-03-03
54,3,139,1,1171,3,420.0,Sugar 1kg,Grocery,140.0,David Wanjiku,Male,Kenya,Nairobi,2026-03-19,2026-03-20
55,5,110,3,1023,5,400.0,Soda 500ml,Beverages,80.0,James Mwangi,Male,Kenya,Kisumu,2026-03-23,2026-03-24
56,4,147,1,1026,5,1600.0,Cooking Oil 1L,Grocery,320.0,Brian Kiptoo,Female,Kenya,Nairobi,2026-03-16,2026-03-18
57,7,142,5,1035,5,2000.0,Eggs Tray,Dairy,400.0,James Otieno,Male,Kenya,Nakuru,2026-03-27,2026-03-28
58,7,135,1,1141,3,1200.0,Eggs Tray,Dairy,400.0,Grace Njeri,Female,Kenya,Nairobi,2026-03-25,2026-03-26
59,7,128,4,1086,5,2000.0,Eggs Tray,Dairy,400.0,Peter Omondi,Male,Kenya,Uasin Gishu,2026-03-27,2026-03-28
60,5,117,2,1145,5,400.0,Soda 500ml,Beverages,80.0,Mary Kiptoo,Female,Kenya,Mombasa,2026-03-05,2026-03-07
61,4,121,5,1156,1,320.0,Cooking Oil 1L,Grocery,320.0,Brian Achieng,Male,Kenya,Nakuru,2026-03-01,2026-03-04
62,2,111,2,1084,3,165.0,Bread White,Bakery,55.0,Daniel Cherono,Male,Kenya,Mombasa,2026-03-15,2026-03-17
63,5,145,5,1112,1,80.0,Soda 500ml,Beverages,80.0,Daniel Otieno,Male,Kenya,Nakuru,2026-03-11,2026-03-12
64,1,113,1,1092,3,180.0,Milk 500ml,Dairy,60.0,David Cherono,Female,Kenya,Nairobi,2026-03-15,2026-03-17
65,2,110,2,1148,4,220.0,Bread White,Bakery,55.0,James Mwangi,Male,Kenya,Mombasa,2026-03-04,2026-03-06
66,2,120,2,1012,1,55.0,Bread White,Bakery,55.0,Ann Kiptoo,Female,Kenya,Mombasa,2026-03-21,2026-03-24
67,6,139,3,1170,1,280.0,Rice 2kg,Grocery,280.0,David Wanjiku,Male,Kenya,Kisumu,2026-03-11,2026-03-14
68,6,132,5,1030,2,560.0,Rice 2kg,Grocery,280.0,Peter Omondi,Male,Kenya,Nakuru,2026-03-13,2026-03-14
69,5,132,2,1091,4,320.0,Soda 500ml,Beverages,80.0,Peter Omondi,Male,Kenya,Mombasa,2026-03-03,2026-03-06
70,7,124,4,1149,5,2000.0,Eggs Tray,Dairy,400.0,Daniel Achieng,Male,Kenya,Uasin Gishu,2026-03-31,2026-04-02
71,3,139,1,1010,1,140.0,Sugar 1kg,Grocery,140.0,David Wanjiku,Male,Kenya,Nairobi,2026-03-10,2026-03-12
72,2,118,1,1189,2,110.0,Bread White,Bakery,55.0,Grace Omondi,Male,Kenya,Nairobi,2026-03-21,2026-03-22
73,3,127,3,1185,4,560.0,Sugar 1kg,Grocery,140.0,Grace Wanjiku,Female,Kenya,Kisumu,2026-03-26,2026-03-28
74,4,119,2,1141,3,960.0,Cooking Oil 1L,Grocery,320.0,Faith Mutua,Female,Kenya,Mombasa,2026-03-25,2026-03-26
75,4,139,5,1162,1,320.0,Cooking Oil 1L,Grocery,320.0,David Wanjiku,Male,Kenya,Nakuru,2026-03-13,2026-03-16
